Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1,5 5 7 7,5.65,97.80%,5.97,1.91
2,4 5 11 12,5.66,97.40%,6.06,2.09
3,1 6 9 12,5.67,95.40%,6.05,2.13
4,1 7 9 12,5.68,95.90%,6.08,2.24
5,2 2 12 12,5.68,98.70%,6.21,2.26
6,1 1 2 10,5.69,95.60%,5.96,1.81
7,3 7 7 7,5.69,97.40%,6.03,2.02
8,1 7 7 10,5.7,97.80%,6.17,2.18
9,4 5 5 6,5.7,97.30%,6.11,2.11
10,4 8 11 11,5.7,95.10%,6.01,1.98
11,1 2 2 10,5.71,96.60%,6.05,2.11
12,1 6 6 11,5.71,98.20%,6.18,2.24
13,3 3 4 6,5.71,97.70%,6.14,2.11
14,4 4 11 12,5.71,91.90%,6.06,2.35
15,2 2 2 3,5.72,99%,5.98,1.72
16,3 3 11 12,5.72,94.70%,6.11,2.19
17,3 6 11 11,5.72,94.40%,5.99,2.05
18,3 8 8 8,5.73,97.50%,6.09,2.14
19,12 12 12 13,5.73,97.40%,6.07,1.98
20,1 2 2 12,5.74,97.70%,6.1,1.99
21,2 8 9 9,5.74,96.30%,6.13,2.1
22,6 6 12 12,5.75,98.40%,6.31,2.35
23,8 9 12 12,5.75,96.20%,6.26,2.24
24,1 5 8 8,5.76,94.80%,6.35,2.69
25,2 2 3 12,5.76,98%,6.17,2.02
26,3 4 4 6,5.77,97.40%,6.1,1.93
27,1 5 6 12,5.79,98.50%,6.17,2.07
28,4 6 9 9,5.79,96.30%,6.17,2.22
29,6 6 11 13,5.79,97.80%,6.3,2.25
30,7 7 11 13,5.79,97.40%,6.32,2.29
31,1 4 4 12,5.81,95.60%,6.31,2.36
32,1 4 6 12,5.81,96.60%,6.23,2.41
33,9 9 11 13,5.81,96.80%,6.35,2.41
34,3 8 12 13,5.82,96%,6.19,2.2
35,1 8 10 12,5.83,95.60%,6.16,2.19
36,3 4 11 13,5.84,96.40%,6.32,2.35
37,11 13 13 13,5.85,97.80%,6.41,2.42
38,4 6 6 7,5.87,96.40%,6.23,2.1
39,1 3 6 12,5.88,96.80%,6.27,2.18
40,2 4 4 12,5.88,98.40%,6.24,2.14
41,3 6 7 7,5.88,93.30%,6.24,2.33
42,4 6 8 8,5.88,96.80%,6.31,2.23
43,1 4 5 12,5.89,95.70%,6.33,2.33
44,10 11 12 12,5.89,95.90%,6.27,2.05
45,2 4 11 11,5.9,96.20%,6.33,2.34
46,4 6 10 11,5.9,94.50%,6.3,2.39
47,4 8 10 10,5.9,97.50%,6.32,2.15
48,1 4 8 12,5.91,97.50%,6.26,2.2
49,2 10 10 12,5.91,97%,6.29,2.31
50,3 6 13 13,5.91,94.50%,6.15,1.95
51,5 6 11 12,5.91,97.20%,6.36,2.23
52,6 6 10 13,5.91,93.70%,6.43,2.68
53,10 10 11 13,5.91,97.60%,6.49,2.37
54,1 3 3 12,5.92,95.30%,6.32,2.31
55,1 7 8 9,5.92,97.10%,6.38,2.27
56,1 12 13 13,5.92,94.30%,6.25,2.17
57,3 8 10 11,5.92,94.40%,6.27,2.35
58,9 10 12 12,5.92,95.70%,6.24,2.02
59,1 11 11 12,5.93,93.40%,6.17,2.22
60,4 5 12 13,5.93,97.60%,6.42,2.16
61,1 3 6 8,5.94,95.40%,6.37,2.53
62,1 2 11 11,5.95,97.30%,6.44,2.44
63,1 6 12 12,5.95,94.50%,6.37,2.45
64,2 8 8 12,5.95,97.40%,6.47,2.44
65,3 6 6 8,5.95,97%,6.35,2.24
66,5 5 5 5,5.95,95.20%,6.36,2.16
67,3 7 10 10,5.96,97.30%,6.35,2.19
68,2 8 10 10,5.97,95.30%,6.28,2.07
69,4 6 10 10,5.97,96.30%,6.34,2.37
70,1 1 3 13,5.98,95.10%,6.36,2.13
71,1 2 6 6,5.98,97.40%,6.41,2.25
72,1 6 7 10,5.98,98.50%,6.53,2.26
73,1 2 4 4,5.99,97.10%,6.33,2.14
74,1 7 8 10,5.99,97.50%,6.41,2.3
75,4 5 5 5,5.99,97.40%,6.55,2.42
76,1 1 4 4,6.01,94.50%,6.31,2.43
77,1 2 6 12,6.01,96.80%,6.38,2.24
78,1 5 8 12,6.02,98.10%,6.51,2.23
79,1 2 10 12,6.03,97.40%,6.55,2.43
80,1 5 7 11,6.03,98.50%,6.48,2.14
81,1 10 10 12,6.03,92.30%,6.24,2.1
82,3 8 12 12,6.03,96.50%,6.47,2.46
83,2 2 11 13,6.04,98%,6.59,2.43
84,3 9 9 9,6.04,97.60%,6.47,2.16
85,1 1 6 6,6.05,97.20%,6.46,2.19
86,1 2 4 8,6.05,96.50%,6.44,2.31
87,1 6 8 9,6.05,98.20%,6.5,2.36
88,3 4 12 12,6.05,94.50%,6.52,2.48
89,4 8 13 13,6.05,94.40%,6.27,1.91
90,1 1 3 4,6.08,98%,6.4,2.03
91,1 3 9 12,6.08,96.20%,6.48,2.34
92,3 8 11 12,6.08,94.20%,6.55,2.64
93,1 1 9 13,6.09,97.20%,6.55,2.54
