Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1,4 6 6 10,55.98,40.20%,22.83,12.31
2,4 4 7 7,56.41,38.80%,14.56,8.11
3,2 2 11 11,57.22,40.10%,13.2,8.62
4,5 7 9 12,57.59,39.60%,17.8,11.41
5,4 5 6 12,58.44,44.10%,21.82,16.05
6,4 6 7 9,58.49,42%,19.47,12.15
7,6 12 12 13,60.5,37.90%,15.11,8.3
8,4 4 10 10,60.61,39.70%,13.47,9.13
9,4 7 11 13,61.01,37%,30.84,16.48
10,4 5 6 11,61.48,38%,19.42,10.88
11,3 5 8 12,62.47,38%,27.97,13.34
12,3 4 6 13,63.1,40.40%,20.37,11.69
13,6 7 8 12,63.27,40.70%,16.9,12.18
14,2 4 11 12,63.58,39.40%,23.37,13.12
15,5 7 10 11,64.03,35.50%,23.76,13.12
16,2 2 13 13,64.44,37.30%,14.05,8.25
17,6 11 12 12,64.75,36.30%,15.4,8.93
18,5 8 9 13,64.8,34.90%,34.56,16.2
19,7 10 12 13,67.86,37.40%,22.3,12.55
20,5 6 8 13,68.54,36.40%,22.65,11.42
21,2 7 8 9,69.74,39.80%,18.28,10.87
22,2 2 6 13,71.49,33.10%,30.83,16.35
23,5 6 9 11,72.21,33.40%,26.15,15.0
24,1 4 7 11,72.93,35.70%,29.78,16.43
25,6 9 9 10,80.98,31.60%,32.75,18.6
26,2 5 7 8,83.96,32.90%,28.52,15.64
27,7 8 8 13,84.91,29.50%,27.08,15.03
28,5 7 7 11,88.29,27.40%,25.62,12.84
29,3 3 7 13,88.82,27.60%,32.8,18.62
30,4 8 8 13,88.89,29.10%,24.53,14.05
31,4 8 8 11,88.95,30%,23.19,13.84
32,3 8 8 10,90.4,28.90%,25.35,16.08
33,2 7 7 10,90.8,27%,26.85,12.93
34,5 5 7 11,91.1,26.10%,25.79,13.15
35,2 3 8 13,92.19,32%,23.64,12.74
36,7 8 10 11,95.22,29.80%,24.05,14.09
37,2 2 10 11,96.37,30.20%,26.2,17.05
38,9 11 12 13,99.38,27.90%,22.06,13.19
39,1 6 6 8,101.21,29.80%,21.64,13.19
40,3 3 8 8,104.24,30.80%,15.65,10.6
41,1 8 12 12,104.58,29%,20.38,13.12
42,3 3 5 7,104.76,29.20%,28.32,17.86
43,2 4 7 12,108.41,28.10%,28.97,16.35
44,2 9 13 13,110.09,24.90%,30.9,19.5
45,3 7 9 13,110.86,26%,39.84,21.67
46,2 4 10 10,111.72,25.80%,28.72,18.53
47,3 6 6 11,112.28,27.10%,24.73,15.29
48,3 5 7 13,122.99,23.60%,38.68,21.2
49,2 5 5 10,188.2,22.10%,24.09,16.42
50,1 4 5 6,195.91,28.70%,18.38,11.81
51,1 3 4 6,201.57,26.90%,19.77,12.1
52,2 3 5 12,207.89,20.70%,29.96,22.37
